DNA Collections Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study:,5953STDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier:,Sanger Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. Plates Sent:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANGER PLATE ID,WELL,SANGER SAMPLE ID,SUPPLIER SAMPLE NAME,REFERENCE GENOME,COHORT,VOLUME (ul),CONC. (ng/ul),GENDER,COUNTRY OF ORIGIN,GEOGRAPHICAL REGION,ETHNICITY,DNA SOURCE,DATE OF SAMPLE COLLECTION (MM/YY or YYYY only),DATE OF DNA EXTRACTION (MM/YY or YYYY only),DNA EXTRACTION METHOD,SAMPLE PURIFIED?,PURIFICATION METHOD,CONCENTRATION DETERMINED BY,DNA STORAGE CONDITIONS,MOTHER (optional),FATHER (optional),SIBLING (optional),GC CONTENT,PUBLIC NAME,TAXON ID,COMMON NAME,SAMPLE DESCRIPTION,STRAIN,SAMPLE TYPE,SAMPLE ACCESSION NUMBER (optional),DONOR ID (required for cancer samples),PHENOTYPE (required for EGA)
DN591850D,A1,5953STDY8280211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280211,
DN591850D,B1,5953STDY8280212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280212,
DN591850D,C1,5953STDY8280213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280213,
DN591850D,D1,5953STDY8280214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280214,
DN591850D,E1,5953STDY8280215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280215,
DN591850D,F1,5953STDY8280216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280216,
DN591850D,G1,5953STDY8280217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280217,
DN591850D,H1,5953STDY8280218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280218,
DN591850D,I1,5953STDY8280219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280219,
DN591850D,J1,5953STDY8280220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280220,
DN591850D,K1,5953STDY8280221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280221,
DN591850D,L1,5953STDY8280222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280222,
DN591850D,M1,5953STDY8280223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280223,
DN591850D,N1,5953STDY8280224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280224,
DN591850D,O1,5953STDY8280225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280225,
DN591850D,P1,5953STDY8280226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280226,
DN591850D,A2,5953STDY8280227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280227,
DN591850D,B2,5953STDY8280228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280228,
DN591850D,C2,5953STDY8280229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280229,
DN591850D,D2,5953STDY8280230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280230,
DN591850D,E2,5953STDY8280231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280231,
DN591850D,F2,5953STDY8280232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280232,
DN591850D,G2,5953STDY8280233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280233,
DN591850D,H2,5953STDY8280234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280234,
DN591850D,I2,5953STDY8280235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280235,
