DNA Collections Form,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Study:,5953STDY,,,,,,,,,,,,,,,,,,,,,,
Supplier:,Sanger Institute,,,,,,,,,,,,,,,,,,,,,,
No. Plates Sent:,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SANGER PLATE ID,WELL,SANGER SAMPLE ID,SUPPLIER SAMPLE NAME,REFERENCE GENOME,COHORT,VOLUME (ul),CONC. (ng/ul),GENDER,DNA SOURCE,GC CONTENT,PUBLIC NAME,TAXON ID,COMMON NAME,SAMPLE DESCRIPTION,STRAIN,SAMPLE TYPE,PHENOTYPE (required for EGA),Developmental stage,Cell Type,Immunoprecipitate,Organism part,SAMPLE ACCESSION NUMBER (optional),DONOR ID (required for cancer samples)
DN600638E,A1,5953STDY8612859,,,,,,,,,,,,,,,,,,,,,5953STDY8612859
DN600638E,B1,5953STDY8612860,,,,,,,,,,,,,,,,,,,,,5953STDY8612860
DN600638E,C1,5953STDY8612861,,,,,,,,,,,,,,,,,,,,,5953STDY8612861
DN600638E,D1,5953STDY8612862,,,,,,,,,,,,,,,,,,,,,5953STDY8612862
DN600638E,E1,5953STDY8612863,,,,,,,,,,,,,,,,,,,,,5953STDY8612863
DN600638E,F1,5953STDY8612864,,,,,,,,,,,,,,,,,,,,,5953STDY8612864
DN600638E,G1,5953STDY8612865,,,,,,,,,,,,,,,,,,,,,5953STDY8612865
DN600638E,H1,5953STDY8612866,,,,,,,,,,,,,,,,,,,,,5953STDY8612866
DN600638E,A2,5953STDY8612867,,,,,,,,,,,,,,,,,,,,,5953STDY8612867
DN600638E,B2,5953STDY8612868,,,,,,,,,,,,,,,,,,,,,5953STDY8612868
DN600638E,C2,5953STDY8612869,,,,,,,,,,,,,,,,,,,,,5953STDY8612869
DN600638E,D2,5953STDY8612870,,,,,,,,,,,,,,,,,,,,,5953STDY8612870
DN600638E,E2,5953STDY8612871,,,,,,,,,,,,,,,,,,,,,5953STDY8612871
DN600638E,F2,5953STDY8612872,,,,,,,,,,,,,,,,,,,,,5953STDY8612872
DN600638E,G2,5953STDY8612873,,,,,,,,,,,,,,,,,,,,,5953STDY8612873
DN600638E,H2,5953STDY8612874,,,,,,,,,,,,,,,,,,,,,5953STDY8612874
DN600638E,A3,5953STDY8612875,,,,,,,,,,,,,,,,,,,,,5953STDY8612875
DN600638E,B3,5953STDY8612876,,,,,,,,,,,,,,,,,,,,,5953STDY8612876
DN600638E,C3,5953STDY8612877,,,,,,,,,,,,,,,,,,,,,5953STDY8612877
DN600638E,D3,5953STDY8612878,,,,,,,,,,,,,,,,,,,,,5953STDY8612878
DN600638E,E3,5953STDY8612879,,,,,,,,,,,,,,,,,,,,,5953STDY8612879
DN600638E,F3,5953STDY8612880,,,,,,,,,,,,,,,,,,,,,5953STDY8612880
DN600638E,G3,5953STDY8612881,,,,,,,,,,,,,,,,,,,,,5953STDY8612881
DN600638E,H3,5953STDY8612882,,,,,,,,,,,,,,,,,,,,,5953STDY8612882
DN600638E,A4,5953STDY8612883,,,,,,,,,,,,,,,,,,,,,5953STDY8612883
DN600638E,B4,5953STDY8612884,,,,,,,,,,,,,,,,,,,,,5953STDY8612884
DN600638E,C4,5953STDY8612885,,,,,,,,,,,,,,,,,,,,,5953STDY8612885
DN600638E,D4,5953STDY8612886,,,,,,,,,,,,,,,,,,,,,5953STDY8612886
DN600638E,E4,5953STDY8612887,,,,,,,,,,,,,,,,,,,,,5953STDY8612887
DN600638E,F4,5953STDY8612888,,,,,,,,,,,,,,,,,,,,,5953STDY8612888
DN600638E,G4,5953STDY8612889,,,,,,,,,,,,,,,,,,,,,5953STDY8612889
DN600638E,H4,5953STDY8612890,,,,,,,,,,,,,,,,,,,,,5953STDY8612890
DN600638E,A5,5953STDY8612891,,,,,,,,,,,,,,,,,,,,,5953STDY8612891
DN600638E,B5,5953STDY8612892,,,,,,,,,,,,,,,,,,,,,5953STDY8612892
DN600638E,C5,5953STDY8612893,,,,,,,,,,,,,,,,,,,,,5953STDY8612893
DN600638E,D5,5953STDY8612894,,,,,,,,,,,,,,,,,,,,,5953STDY8612894
DN600638E,E5,5953STDY8612895,,,,,,,,,,,,,,,,,,,,,5953STDY8612895
DN600638E,F5,5953STDY8612896,,,,,,,,,,,,,,,,,,,,,5953STDY8612896
DN600638E,G5,5953STDY8612897,,,,,,,,,,,,,,,,,,,,,5953STDY8612897
DN600638E,H5,5953STDY8612898,,,,,,,,,,,,,,,,,,,,,5953STDY8612898
DN600638E,A6,5953STDY8612899,,,,,,,,,,,,,,,,,,,,,5953STDY8612899
DN600638E,B6,5953STDY8612900,,,,,,,,,,,,,,,,,,,,,5953STDY8612900
DN600638E,C6,5953STDY8612901,,,,,,,,,,,,,,,,,,,,,5953STDY8612901
DN600638E,D6,5953STDY8612902,,,,,,,,,,,,,,,,,,,,,5953STDY8612902
DN600638E,E6,5953STDY8612903,,,,,,,,,,,,,,,,,,,,,5953STDY8612903
DN600638E,F6,5953STDY8612904,,,,,,,,,,,,,,,,,,,,,5953STDY8612904
DN600638E,G6,5953STDY8612905,,,,,,,,,,,,,,,,,,,,,5953STDY8612905
DN600638E,H6,5953STDY8612906,,,,,,,,,,,,,,,,,,,,,5953STDY8612906
DN600638E,A7,5953STDY8612907,,,,,,,,,,,,,,,,,,,,,5953STDY8612907
DN600638E,B7,5953STDY8612908,,,,,,,,,,,,,,,,,,,,,5953STDY8612908
DN600638E,C7,5953STDY8612909,,,,,,,,,,,,,,,,,,,,,5953STDY8612909
DN600638E,D7,5953STDY8612910,,,,,,,,,,,,,,,,,,,,,5953STDY8612910
DN600638E,E7,5953STDY8612911,,,,,,,,,,,,,,,,,,,,,5953STDY8612911
DN600638E,F7,5953STDY8612912,,,,,,,,,,,,,,,,,,,,,5953STDY8612912
DN600638E,G7,5953STDY8612913,,,,,,,,,,,,,,,,,,,,,5953STDY8612913
DN600638E,H7,5953STDY8612914,,,,,,,,,,,,,,,,,,,,,5953STDY8612914
DN600638E,A8,5953STDY8612915,,,,,,,,,,,,,,,,,,,,,5953STDY8612915
