,Cellname,Classification
0,X5953STDY8282899,GSC
1,X5953STDY8282900,GSC
2,X5953STDY8282901,GSC
3,X5953STDY8282902,GSC
4,X5953STDY8282903,GSC
5,X5953STDY8282904,Microglia
6,X5953STDY8282906,GSC
7,X5953STDY8282907,GSC
8,X5953STDY8282908,GSC
9,X5953STDY8282909,GSC
10,X5953STDY8282910,GSC
11,X5953STDY8282911,GSC
12,X5953STDY8282912,GSC
13,X5953STDY8282913,Microglia
14,X5953STDY8282915,GSC
15,X5953STDY8282917,GSC
16,X5953STDY8282918,GSC
17,X5953STDY8282921,Microglia
18,X5953STDY8282922,GSC
19,X5953STDY8282924,GSC
20,X5953STDY8282925,GSC
21,X5953STDY8282926,Endothelial Cells
22,X5953STDY8282928,GSC
23,X5953STDY8282929,GSC
24,X5953STDY8282930,Microglia
25,X5953STDY8282931,GSC
26,X5953STDY8282934,GSC
27,X5953STDY8282935,Microglia
28,X5953STDY8282938,GSC
29,X5953STDY8282939,GSC
30,X5953STDY8282940,GSC
31,X5953STDY8282942,GSC
32,X5953STDY8282943,GSC
33,X5953STDY8282945,GSC
34,X5953STDY8282946,Microglia
35,X5953STDY8282947,GSC
36,X5953STDY8282948,GSC
37,X5953STDY8282950,Microglia
38,X5953STDY8282951,GSC
39,X5953STDY8282953,GSC
40,X5953STDY8282954,GSC
41,X5953STDY8282955,GSC
42,X5953STDY8282957,GSC
43,X5953STDY8282958,GSC
44,X5953STDY8282959,GSC
45,X5953STDY8282960,GSC
46,X5953STDY8282962,GSC
47,X5953STDY8282963,Microglia
48,X5953STDY8282964,GSC
49,X5953STDY8282966,GSC
50,X5953STDY8282967,GSC
51,X5953STDY8282968,Microglia
52,X5953STDY8282971,Microglia
53,X5953STDY8282972,GSC
54,X5953STDY8282973,GSC
55,X5953STDY8282975,Microglia
56,X5953STDY8282976,Endothelial Cells
57,X5953STDY8282977,GSC
58,X5953STDY8282980,GSC
59,X5953STDY8282981,Microglia
60,X5953STDY8282982,GSC
61,X5953STDY8282984,GSC
62,X5953STDY8282985,GSC
63,X5953STDY8282986,GSC
64,X5953STDY8282988,GSC
65,X5953STDY8282989,GSC
66,X5953STDY8282990,Microglia
67,X5953STDY8282991,GSC
68,X5953STDY8282992,GSC
69,X5953STDY8282993,GSC
70,X5953STDY8282995,GSC
71,X5953STDY8282996,Microglia
72,X5953STDY8282997,GSC
73,X5953STDY8282998,Endothelial Cells
74,X5953STDY8282999,Microglia
75,X5953STDY8283000,Microglia
76,X5953STDY8283001,GSC
77,X5953STDY8283002,GSC
78,X5953STDY8283003,GSC
79,X5953STDY8283005,Microglia
80,X5953STDY8283006,Microglia
81,X5953STDY8283007,Microglia
82,X5953STDY8283008,GSC
83,X5953STDY8283010,Microglia
84,X5953STDY8283012,Microglia
85,X5953STDY8283015,Microglia
86,X5953STDY8283016,GSC
87,X5953STDY8283017,Microglia
88,X5953STDY8283018,Microglia
89,X5953STDY8283019,GSC
90,X5953STDY8283020,GSC
91,X5953STDY8283021,GSC
92,X5953STDY8283022,GSC
93,X5953STDY8283024,Microglia
94,X5953STDY8283027,GSC
95,X5953STDY8283028,GSC
96,X5953STDY8283029,Microglia
97,X5953STDY8283030,Microglia
98,X5953STDY8283032,GSC
99,X5953STDY8283033,Microglia
100,X5953STDY8283034,GSC
101,X5953STDY8283036,Endothelial Cells
102,X5953STDY8283037,GSC
103,X5953STDY8283038,GSC
104,X5953STDY8283039,Microglia
105,X5953STDY8283043,Microglia
106,X5953STDY8283044,Microglia
107,X5953STDY8283045,Microglia
108,X5953STDY8283046,GSC
109,X5953STDY8283048,Microglia
110,X5953STDY8283049,GSC
111,X5953STDY8283050,GSC
112,X5953STDY8283051,GSC
113,X5953STDY8283053,GSC
114,X5953STDY8283054,GSC
115,X5953STDY8283056,GSC
116,X5953STDY8283058,GSC
117,X5953STDY8283060,GSC
118,X5953STDY8283061,GSC
119,X5953STDY8283062,GSC
120,X5953STDY8283063,GSC
121,X5953STDY8283066,GSC
122,X5953STDY8283068,GSC
123,X5953STDY8283069,GSC
124,X5953STDY8283070,GSC
125,X5953STDY8283071,GSC
126,X5953STDY8283072,Endothelial Cells
127,X5953STDY8283074,GSC
128,X5953STDY8283075,Microglia
129,X5953STDY8283077,GSC
130,X5953STDY8283078,GSC
131,X5953STDY8283079,GSC
132,X5953STDY8283080,GSC
133,X5953STDY8283081,GSC
134,X5953STDY8283082,GSC
135,X5953STDY8283083,Microglia
136,X5953STDY8283084,GSC
137,X5953STDY8283085,GSC
138,X5953STDY8283086,Microglia
139,X5953STDY8283087,GSC
140,X5953STDY8283088,GSC
