,SampleName
X5953STDY8282899,X5953STDY8282899
X5953STDY8282900,X5953STDY8282900
X5953STDY8282901,X5953STDY8282901
X5953STDY8282902,X5953STDY8282902
X5953STDY8282903,X5953STDY8282903
X5953STDY8282906,X5953STDY8282906
X5953STDY8282907,X5953STDY8282907
X5953STDY8282908,X5953STDY8282908
X5953STDY8282909,X5953STDY8282909
X5953STDY8282910,X5953STDY8282910
X5953STDY8282911,X5953STDY8282911
X5953STDY8282912,X5953STDY8282912
X5953STDY8282915,X5953STDY8282915
X5953STDY8282917,X5953STDY8282917
X5953STDY8282918,X5953STDY8282918
X5953STDY8282922,X5953STDY8282922
X5953STDY8282924,X5953STDY8282924
X5953STDY8282925,X5953STDY8282925
X5953STDY8282928,X5953STDY8282928
X5953STDY8282929,X5953STDY8282929
X5953STDY8282931,X5953STDY8282931
X5953STDY8282934,X5953STDY8282934
X5953STDY8282938,X5953STDY8282938
X5953STDY8282939,X5953STDY8282939
X5953STDY8282940,X5953STDY8282940
X5953STDY8282942,X5953STDY8282942
X5953STDY8282943,X5953STDY8282943
X5953STDY8282945,X5953STDY8282945
X5953STDY8282947,X5953STDY8282947
X5953STDY8282948,X5953STDY8282948
X5953STDY8282951,X5953STDY8282951
X5953STDY8282953,X5953STDY8282953
X5953STDY8282954,X5953STDY8282954
X5953STDY8282955,X5953STDY8282955
X5953STDY8282957,X5953STDY8282957
X5953STDY8282958,X5953STDY8282958
X5953STDY8282959,X5953STDY8282959
X5953STDY8282960,X5953STDY8282960
X5953STDY8282962,X5953STDY8282962
X5953STDY8282964,X5953STDY8282964
X5953STDY8282966,X5953STDY8282966
X5953STDY8282967,X5953STDY8282967
X5953STDY8282972,X5953STDY8282972
X5953STDY8282973,X5953STDY8282973
X5953STDY8282977,X5953STDY8282977
X5953STDY8282980,X5953STDY8282980
X5953STDY8282982,X5953STDY8282982
X5953STDY8282984,X5953STDY8282984
X5953STDY8282985,X5953STDY8282985
X5953STDY8282986,X5953STDY8282986
X5953STDY8282988,X5953STDY8282988
X5953STDY8282989,X5953STDY8282989
X5953STDY8282991,X5953STDY8282991
X5953STDY8282992,X5953STDY8282992
X5953STDY8282993,X5953STDY8282993
X5953STDY8282995,X5953STDY8282995
X5953STDY8282997,X5953STDY8282997
X5953STDY8283001,X5953STDY8283001
X5953STDY8283002,X5953STDY8283002
X5953STDY8283003,X5953STDY8283003
X5953STDY8283008,X5953STDY8283008
X5953STDY8283016,X5953STDY8283016
X5953STDY8283019,X5953STDY8283019
X5953STDY8283020,X5953STDY8283020
X5953STDY8283021,X5953STDY8283021
X5953STDY8283022,X5953STDY8283022
